to have	έχω
lowly	χαμηλός
beloved	αγαπητός
choral	χορικός
understanding	η κατανοήση
vexation	η ενόχληση
confidence	η εμπιστοσύνη
direction	η κατεύθυνση
belief	η πίστη
ashes	η στάχτη
syntax	η σύνταξη
treaty	η συνθήκη
climb	η ανάβαση
exercise	η άσκηση
to scrimp	τσιγγουνεύομαι
to mediate	στοχάζομαι
to assail	επιτίθεμαι
to budge	κινούμαι
to disclaim	αποποιούμαι
to clamber	αναρριχώμαι
to disown	αποποιούμαι
to overhang	επικρέμαμαι
to invoke	επικαλούμαι
to sham	προσποιούμαι
sob	το αναφιλητό
dynamo	το δυναμό
female	το θυληκό
rope	το σχοινί
cloth	το πανί
environment	το περιβάλλον
mistake	το λάθος
liquid	το υγρό
cheese	το τυρί
term	το όρος
leafy	φυλλώδης
poisonous	δηλητηριώδης
stormy	θυελλώδης
fundamental	θεμελιώδης
unmistakable	καταφανής
hazy	ομιχλώδης
swampy	ελώδης
grassy	χλοώδης
hygienic	υγιής
ashy	τεφρώδης
pond	η λιμνούλα
sweetness	η γλύκα
towel	η πετσέτα
wickedness	η κακία
nurse	η νοσοκόμα
insanity	η τρέλα
absence	η απουσία
satire	η σάτιρα
shrine	η λάρνακα
baldness	η φαλάκρα
to undertake	αναλαμβάνω
to sharpen	ακονίζω
to express	εκφράζω
to plant	φυτεύω
to heave	βιράρω
to mount	ανεβαίνω
to descend	κατεβαίνω
to fix	φτιάχνω
to frighten	φοβίζω
to giggle	χαχανίζω
tale	το παραμύθι
fireplace	το τζάκι
trousers	το παντελόνι
fish	το ψάρι
roll	το ψωμάκι
ring	το δακτυλίδι
ant	το μυρμηγκι
drain	το λούκι
knife	το μαχαίρι
pepper	το πιπέρι
glorious	ένδοξος
worse	χειρότερος
sublime	τέλειος
certain	βέβαιος
inferior	κατώτερος
glad	χαρούμενος
stout	εύσαρκος
fine	ωραίος
primitive	πρωτόγονος
witty	σπιρτόζος
strand	η ακτή
board	η επιτροπή
inducement	η προτοπή
stewardess	η αεροσυνοδός
scream	η κραυγή
contact	η επαφή
recess	η εσοχή
tent	η σκηνή
vertex	η κορυφή
rush	ηορμή
to delude	εξαπατώ
to monopolize	μονοπωλώ
to exalt	εξαίρώ
to frisk	χοροπηδώ
to execute	εκτελώ
to circulate	κυκλοφορώ
to revolt	επαναστατώ
to prosper	ευημερώ
to misrepresent	παραποιώ
to cause	προκαλώ
brandy	το κονιάκ
amount	το ποσό
passion	το πάθος
sort	το είδος
depth	το βάθος
oar	το κουπί
shower	το ντους
moan	το βογγητό
score	το σκορ
hate	το μίσος
everyone	όλοι
loudly	δυνατά
among	ανάμεσα
nowhere	πουθενά
gracefully	χαριτωμένα
boldly	θαρραλέα
since	από
faithfully	πιστά
former	πρώην
disrespectfully	ασεβέστατα
vice	η φαυλότητα
harmony	η αρμονία
sin	η αμαρτία
inquiry	η έρευνα
liveliness	η ζωηρότητα
farming	η γεωργία
flag	η σημαία
heifer	η δαμάλα
skirmish	η αψιμαχία
lightness	η ελαφρότητα
to climb	σκαρφαλώνω
to bind	δένω
to shine	λάμπω
to clothe	ντύνω
to publish	εκδίδω
to found	ιδρύω
to enjoy	απολαμβάνω
to adjust	πυθμίζω
to pronounce	προφέρω
to support	υποστηρίζω
wreck	το ναυάγιο
theatre	το θέατρο
piano	το πιάνο
bow	το τόξο
mystery	το μυστήριο
post	το ταχυδρομείο
javelin	το ακόντιο
anklet	το περισφύριο
cocoa	το κακάο
trick	το κόλπο
equestrian	ιππικός
migratory	αποδημητικός
daring	τολμηρός
lax	χαλαρός
besides	εκτός
crank	εκκεντρικός
closed	κλειστός
environmental	περιβαλλοντικός
biting	δηκτικός
hanging	κρεμαστός
regret	η λύπη
mud	η λάσπη
anguish	η οδύνη
vigour	η δύναμη
justice	η δικαιοσύνη
test	η εξέταση
compliance	η συμμώρφωση
parade	η παρέλαση
encirclement	η περικύκλωση
exhaust	η εξάτμιση
to groan	βογγώ
to normalize	ομαλοποιώ
to extract	αποσπώ
to philosophize	φιλοσοφώ
to subtract	αφαιρώ
to disquiet	ανησυχώ
to satiate	ικανοποιώ
to ache	πονώ
to initiate	μυώ
to recall	ανακαλώ
cavalry	το ιππικό
pouch	το πουγγί
error	το λάθος
island	το νησί
sweater	το πούλοβερ
drink	το ποτό
overcoat	το παλτό
bunch	το τσαμπί
beast	το κτήνος
magazine	το περιοδικό
prickly	ακανθώδης
lasting	διαρκής
frothy	αφρώδης
devotional	ευσεβής
altogether	εντελώς
boastful	καυχησιάρης
distinctly	σαφώς
somewhat	κάπως
mossy	βρυώδης
inert	αδρανής
search	η έρευνα
reality	η πραγματικότητα
proverb	η παροιμία
stump	η ρίζα
sacrifice	η θυσία
uncertainty	η αβεβαιώτητα
chorus	η χορωδία
dampness	η υγρασία
widow	η χήρα
shrimp	η γαρίδα
to uncover	ξεσκεπάζω
to shatter	θρυμματίζω
to join	ενώνω
to withdraw	αποσύρω
to bid	προσφέρω
to greet	χαιρετίζω
to celebrate	εορτάζω
to burst	σκάω
to succeed	πετυχαίνω
to loosen	χαλαρώνω
pencil	το μολύβι
star	το αστέρι
eel	το χέλι
peacock	το παγόνι
serpent	το φίδι
liver	το συκώτι
gunpowder	το μπαρούτι
seedling	το φιντάνι
bottle	το μπουκάλι
path	το μονοπάτι
rusty	σκουριασμένος
foreign	ξένος
remarkable	αξιόλογος
unusual	ασυνήθιστος
extravagant	σπάταλος
unfair	άδικος
disreputable	κακόφημος
indispensable	απαραίτητος
infamous	διαβόητος
intense	έντονος
countryside	η εξοχή
guilt	η ενοχή
thesis	η διατριβή
ointment	η αλοιφή
stage	η σκηνή
pretext	η αφορμή
devastation	η καταστροφή
excess	η υπερβολή
crevice	η ρωγμή
ruin	η καταστροφή
to counteract	αντενεργώ
to tranquillize	ηρεμώ
to calm	ηρεμώ
to bestow	κληροδοτώ
to intoxicate	μεθώ
to regard	θεωρώ
to disable	ακινητοποιώ
to sniff	ρουφώ
to overpower	κατανικώ
to bewail	μοιρολογώ
infant	το βρέφος
occurrence	το συμβάν
ululation	το ουρλιαχτό
boss	το αφεντικό
fort	το οχυρό
feature	το χαρακτηριστικό
finish	το τέλος
cab	το ταξί
issue	το τεύχος
dictionary	το λεξικό
sensibly	λογικά
seriously	σοβαρά
presently	σύντομα
beside	δίπλα
respectfully	σεβαστά
urgent	επείγων
freely	ελεύθερα
swiftly	γοργά
openly	ανοικτά
poorly	φτωχά
weakness	η αδυναμία
craving	η λαχτάρα
toothpaste	η οδοντόπαστα
tape	η ταινία
likeness	η ομοιώτητα
fashion	η μόδα
merit	η αξία
thimble	η δακτυλήθρα
presence	η παρουσία
stupidity	η ανοησία
to nourish	θρέφω
to hinder	εμποδίζω
to upset	αναστατώνω
to present	παρουσιάζω
to compare	συγκρίνω
to untie	ξεδένω
to sprain	στραμπουλίζω
to strengthen	ενισχύω
to own	κατέχω
to stir	ανακατεύω
cemetery	το νεκροταφείο
horseshoe	το πέταλο
kingdom	το βασιλείο
chapter	το κεφάλαιο
scheme	το σχέδιο
subject	το υποκείμενο
push	το σπρώξιμο
joke	το αστείο
frontier	τοσύνορο
maximum	το μέγιστο
hundredth	εκατοστός
disadvantageous	μειωνεκτικός
correct	σωστός
straightforward	απλός
sightless	τυφλός
quarrelsome	εριστικός
leading	πρωταγωνιστικός
abusive	υβριστικός
slack	χαλαρός
orderly	μεθοδικός
inquisitiveness	πολυπραγματοσύν
stern	η πρύμνη
exhaustion	η εξάντληση
ostentation	η επίδειξη
migration	η μετανάστευση
judgment	η κρίση
prestige	η αίγλη
completion	η ολοκλήρωση
abbreviation	η συντώμευση
hint	η νύξη
to commend	επαινώ
to speculate	κερδοσκοπώ
to pacify	ειρηνοποιώ
to thrash	ξυλοκοπώ
to forewarn	προειδοποιώ
to utilize	χρησιμοποιώ
to dip	βουτώ
to amend	τροποποιώ
to steady	σταθεροποιώ
to concede	παραχωρώ
steeple	το καμπαναριό
breadth	το φάρδος
cell	το κελί
forum	τοφόρουμ
cleanser	το καθαριστικό
talisman	το φυλακτό
sack	το σακκί
stake	το στοίχημα
honeysuckle	το αιγόκλημα
accomplishment	το κατόρθωμα
exactly	ακριβώς
windy	ανεμώδης
godly	θεοσεβής
bombastic	στομφώδης
anyhow	πάντως
baggy	φαρδύς
weakly	ασθενώς
possibly	ίσως
miserly	τσιγγούνης
affable	προσηνής
wrinkle	η ρυτίδα
betrayal	η προδοσία
contention	η φιλονικία
mess	η ακαταστασία
mustard	η μουστάρδα
cream	η κρέμα
cart	η άμαξα
mare	η φοράδα
deal	η συμφωνία
guardianship	η κηδεμονία
to indicate	ενδεικνύω
to achieve	καταφέρνω
to sanctify	αγιάζω
to harm	βλάπτω
to stream	ρέω
to restore	επαναφέρω
to kneel	γονατίζω
to sow	σπέρνω
to hesitate	διστάζω
to assuage	κατευνάζω
sleeve	το μανίκι
stick	το μπαστούνι
balcony	το μπαλκόνι
trip	το ταξιδάκι
bazaar	το παζάρι
teaspoon	το κουτάλι
pomegranate	το ρόδι
feast	το γλέντι
pigeon	το περιστέρι
shawl	το σάλι
fast	γρήγορος
magnificent	θαυμάσιος
legitimate	νόμιμος
private	ιδιαίτερος
plain	σκέτος
vertical	κάθετος
victorious	νικηφόρος
wretched	κακόμοιρος
delicious	νόστιμος
obscene	χυδαίος
perseverance	η επιμονή
committee	η επιτροπή
honor	η τιμή
postponement	η αναβολή
dye	η βαφή
hush	η σιωπή
nutriment	η τροφή
hurt	η πληγή
actress	η ηθοποιός
continent	η ήπειρος
to mislead	παραπλανώ
to socialize	κοινωνικοποιώ
to stoke	τροφοδοτώ
to abolish	καταργώ
to embroider	κεντώ
to squander	κατασπαταλώ
to absorb	απορροφώ
to paste	κολλώ
to post	ταχυδρομώ
to desensitize	απευαισθητοποιώ
cookie	το μπισκότο
circus	το τσίρκο
fine	το πρόστιμο
present	το δώρο
ivory	το ελεφαντόδοντο
cape	το ακρωτήριο
instrument	το όργανο
notebook	το τετράδιο
shipwreck	το ναυάγιο
dollar	το δολάριο
reluctantly	απρόθυμα
again	ξανά
eagerly	πρόθυμα
several	αρκετοί
kindly	ευγενικά
hardly	σχεδόν
neither	ούτε
crowded	φίσκα
especially	ειδικά
furthermore	επιπλέον
jug	η κανάτα
estate	η περιουσία
screw	η βίδα
dot	η κουκκίδα
portion	η μερίδα
wedge	η σφήνα
conspiracy	η συνωμοσία
disease	η αρρώστια
flannel	η φανέλα
drought	η ξηρασία
to include	περιέχω
to disinherit	αποκληρώνω
to encompass	περικυκλώνω
to enclose	εσωκλείω
to encourage	ενθαρρύνω
to handle	μεταχειρίζω
to stab	μαχαιρώνω
to grab	αρπάζω
to enter	μπαίνω
to behead	αποκεφαλίζω
scythe	το δρεπάνι
threshold	το κατώφλι
chick	το κοτοπουλάκι
cotton	το βαμβάκι
tumbler	το ποτήρι
song	το τραγούδι
shell	το κοχύλι
snail	το σαλιγκάρι
furrow	το αυλάκι
pawn	το πιόνι
tepid	χλιαρός
sound	γερός
scathing	καυστικός
heartbreaking	θλιβερός
forbearing	ανεκτικός
scanty	λιγοστός
curly	σγουρός
significant	σημαντικός
flaming	φλογερός
oily	λαδερός
seizure	η σύλληψη
amazement	η κατάπληξη
dismay	η απογοήτευση
resolution	η λύση
lawsuit	η δίκη
strength	η δύναμη
combat	η μάχη
charge	η επιβάρυνση
release	η απελευθέρωση
oversight	η παράβλεψη
to vocalize	φωνώ
to mash	πολτοποιώ
to advocate	συνιστώ
to tickle	γαργαλώ
to pulverize	κονιοποιώ
to vibrate	δονώ
to calibrate	διαμετρώ
to diddle	εξαπατώ
to tote	κουβαλώ
to annotate	σχολιογραφώ
weapon	το όπλο
knapsack	το σακκίδιο
palace	το ανάκτορο
factory	το εργοστάσιο
medicine	το φάρμακο
conference	το συνέδριο
treasury	ο θησαυροφυλάκιο
eyelash	το τσίνορο
square	το τετράγωνο
salary	το μηνιάτικο
merely	απλώς
bloodthirsty	αιμοδιψής
moderate	μετριοπαθής
knotty	οζώδης
alongside	παραπλεύρως
weighty	βαρύς
studious	επιμελής
negligent	αμελής
noisy	θορυβώδης
keen	ενθουσιώδης
affliction	η ασθένεια
taxation	η φορολογία
coolness	η ψύχρα
flood	η πλημμύρα
drowsiness	η νύστα
ball	η μπάλα
abundance	η αφθονία
jumble	η ανακατωσούρα
picture	η εικόνα
lining	η φόδρα
to pile	συσσωρεύω
to pursue	καταδιώκω
to submit	υποβαλλω
to enlarge	μεγεθύνω
to check	ελέγχω
to foresee	προβλέπω
to unfold	ξεδιπλώνω
to boil	βράζω
to fasten	κλείνω
to overflow	ξεχειλίζω
ditch	το χαντάκι
pot	το τσικάλι
harpoon	το καμάκι
fuse	το φυτίλι
sill	το περβάζι
porthole	το φινιστρίνι
pear	το αχλάδι
journey	το ταξίδι
earring	το σκουλαρίκι
swallow	το χελιδόνι
homelike	σπιτίκος
roomy	ευρύχωρος
original	πρωτότυπος
recent	πρόσφατος
atrocious	απαίσιος
identical	ίδιος
contemptible	αξιοκαταφρόντος
disloyal	άπιστος
whole	ολόκληρος
sorrowful	λυπημένος
performance	η απόδωση
refinement	η διύλιση
operation	η εγχείρηση
ornament	η διακόσμηση
sheath	η θήκη
denial	η άρνηση
brotherhood	η αδελφοσύνη
frustration	η ματαίωση
notice	η παρατήρηση
assault	η επίθεση
to solder	συγκολλώ
to succor	βοηθώ
to batter	χτυπώ
to research	ερευνώ
to glisten	λαμποκοπώ
to overawe	καταπτοώ
to stylize	σχηματοποιώ
to reside	κατοικώ
to bejewel	κοσμώ
to disagree	διαφωνώ
fief	το τιμάριο
eyelid	το βλέφαρο
sewing	το ράψιμο
design	το σχέδιο
plane	το αεροπλάνο
tool	το εργαλείο
swelling	το πρήξιμο
customs	το τελωνείο
bus	το λεωφορείο
invoice	το τιμολόγιο
lately	πρόσφατα
opposite	απέναντι
gently	ήπια
unexpectedly	απροσδόκητα
away	μακριά
somewhere	κάπου
quite	αρκετά
clearly	καθαρά
nearly	σχεδόν
provisionally	προσωρινά
timber	η ξυλεία
spark	η σπίθα
lioness	η λέαινα
thirst	η δίψα
locality	η τοποθεσία
usefulness	η χρησιμότητα
care	η φροντίδα
bribe	η δωροδοκία
flatness	η επιπεδότητα
location	η τοποθεσία
to reap	δρέπω
to resolve	αποφασίζω
to submerge	καταδύω
to distribute	διανέμω
to contribute	συνεισφέρω
to collect	συλλέγω
to secure	εξασφαλίζω
to convince	πείθω
to interrupt	διακόπτω
to cleanse	καθαρίζω
honey	το μέλι
darkness	το σκοτάδι
syrup	το σιρόπι
bud	το μπουμπούκι
top	το καπάκι
rag	το κουρέλι
turpentine	το νέφτι
spool	το καρούλι
slap	το χαστούκι
cup	το φλυτζάνι
initial	αρχικός
able	ικανός
standard	κανονικός
afternoon	απογεματινός
alluring	δελεαστικός
esteemed	σεβαστός
arid	ξηρός
unpolluted	καθαρός
gruff	αγριωπός
solitary	μοναχικός
oats	η βρώμη
decision	η απόφαση
art	η τέχνη
mist	η ομίχλη
recollection	η ανάμνηση
evidence	η απόδειξη
opinion	η γνώμη
deception	η απάτη
faith	η πίστη
recovery	η ανάρρωση
to glue	κολλώ
to discredit	δυσφημώ
to swoop	εφορμώ
to collate	ταξινομώ
to navigate	ναυσιπλοώ
to recede	υποχωρώ
to enumerate	απαριθμώ
to overestimate	υπερτιμώ
to unnerve	πτοώ
to bemoan	θρηνώ
laughter	το γέλιο
coffin	το φέρετρο
cymbal	το κύμβαλο
casket	το φέρετρο
garment	το ρούχο
agency	το πρακτορέιο
twilight	τοσούρουπο
cautery	το καυτήριο
fare	το εισιτήριο
workshop	το εργαστήριο
congenial	συγγενής
misty	ομιχλώδης
chiefly	κυρίως
unambiguous	σαφής
obstinate	πεισματώδης
international	διεθνής
scented	ευώδης
outstanding	διαπρεπής
flared	φαρδύς
moronic	βλακώδης
discord	η διαφωνία
feebleness	η αδυναμία
team	η ομάδα
unrest	η ανησυχία
agreement	η συμφωνία
bribery	η δωροδοκία
strawberry	η φράουλα
frugality	η λιτότητα
accord	η συμφωνία
martyrdom	η μαρτυρία
to chide	μαλώνω
to gain	κερδίζω
to conceal	κρύβω
to moor	προσδένω
to dampen	υγραίνω
to reckon	υπολογίζω
to fry	τηγανίζω
to suffice	φθάνω
to alter	αλλάζω
to attract	προσελκύω
ravine	το φαράγγι
silk	το μετάξι
anvil	το αμόνι
tablet	το χάπι
peg	το μανταλάκι
udder	το μαστάρι
toy	το παιχνίδι
onion	το κρεμμύδι
track	το μονοπάτι
axe	το τσεκούρι
adroit	επιδέξιος
huge	τεράστιος
shameful	επαίσχυντος
reluctant	απρόθυμος
gigantic	γιγάντιος
imperceptible	ανεπαίσθητος
bold	θαρραλέος
wounded	τραυματισμένος
irregular	ανώμαλος
untouched	άθικτος
mistress	η ερωμένη
blindness	η τύφλωση
procession	η παρέλαση
sparkle	η λάμψη
annoyance	η ενόχληση
riverbank	η όχθη
buckle	η πόρπη
science	η επιστήμη
increase	η αύξηση
haste	η βιασύνη
to poke	σκουντώ
to flank	πλευροκοπώ
to contort	συσπώ
to bereave	αποστερώ
to reek	βρωμώ
to overhaul	προσπερνώ
to hoodwink	εξαπατώ
to personify	προσωποποιώ
to retain	κατακρατώ
to superintend	επιστατώ
gift	το δώρο
total	το σύνολο
bicycle	το ποδήλατο
obstacle	το εμπόδιο
bier	το βάθρο
fortnight	το δεκαπενθήμερο
chicken	το κοτόπουλο
stoop	το σκύψιμο
nerve	το νεύρο
bulwark	το προπύργιο
usefully	χρήσιμα
excellently	άριστα
firstly	πρώτα
striped	ριγέ
terribly	φοβερά
softly	μαλακά
strangely	περίεργα
splendidly	υπέροχα
cheaply	φτηνά
fewer	λιγότεροι
indolence	η νωθρότητα
sunshine	η ηλιακάδα
zebra	η ζέβρα
muddle	η ανακατωσούρα
crust	η κρούστα
locust	η ακρίδα
residence	η κατοικία
stiffness	η δυσκαμψία
attempt	η προσπάθεια
avarice	η φιλαργυρία
to husk	ξεφλουδίζω
to repair	επισκευάζω
to belong	ανήκω
to forsake	εγκαταλείπω
to arise	προκύπτω
to enthrall	υποδουλώνω
to rub	τρίβω
to tire	κουράζω
to hack	πετσοκόβω
to intend	σκοπεύω
oyster	το στρείδι
shin	το καλάμι
octopus	το χταπόδι
shelf	το ράφι
loaf	το καρβέλι
fountain	το συντριβάνι
tangerine	το μανδαρίνι
cushion	το μαξιλάρι
puppy	το κουταβάκι
ox	το βόδι
mixed	μικτός
fiftieth	πεντηκοστός
mournful	θλιβερός
hesitant	διστακτικός
inner	εσωτερικός
voluntary	εθελοντικός
crazy	τρελός
thoughtful	σκεπτικός
understandable	κατανοητός
winged	πτερωτός
advocacy	η υποστήριξη
repetition	η επανάληψη
guidance	η καθοδήγηση
atonement	η επανόρθωση
opposition	η αντίσταση
request	η παράκληση
answer	η απάντηση
power	η δύναμη
scorn	η περιφρόνηση
addition	η πρόσθηκη
to tarry	αργοπορώ
to blather	φλυαρώ
to supersede	αντικαθιστώ
to berate	επιτιμώ
to slither	γλιστρώ
to empower	εξουσιοδοτώ
to surmount	ξεπερνώ
to mar	χαλώ
to hurtle	ορμώ
to convene	συγκαλώ
suburb	το προάστιο
entirety	το σύνολο
rose	το τριαντάφυλλο
rectangle	το ορθογώνιο
hydrogen	το υδρογώνο
hemisphere	το ημισφαίριο
metal	το μέταλλο
welt	το βάρδουλο
baton	το ρόπαλο
garland	το στεφάνι
gaping	χάσκωντας
entreating	εκλιπαρώντας
seemly	ευπρεπής
soapy	σαπωνώδης
conspicuous	εμφανής
ungentlemanly	αναξιοπρεπής
trembling	τρέμωντας
centennial	εκατονταετής
lisping	ψευδίζοντας
destitute	ενδεής
dwelling	η κατοικία
lemonade	η λεμονάδα
neatness	η κομψότητα
needle	η βελόνα
baton	η μπαγκέτα
eggplant	η μελιτζάνα
gentleness	η ηπιότητα
seriousness	η σοβαρότητα
armchair	η πολυθρόνα
bag	η τσάντα
to tame	δαμάζω
to accomplish	επιτυγχάνω
to dismiss	απολύω
to thicken	πυκνώνω
to devote	αφιερώνω
to fail	αποτυγχάνω
to plead	ικετεύω
to reveal	αποκαλύπτω
to hum	βομβίζω
to invade	εισβάλλω
diamond	το διαμάντι
mat	το χαλάκι
poker	το σκαλιστήρι
thorn	το αγκάθι
wristband	το μανικέτι
coupon	το κουπόνι
seaweed	το φύκι
noon	το μεσιμέρι
chess	το σκάκι
speck	το στίγμα
incomprehensible	ακατανόητος
ninth	έννατος
distraught	ταραγμένος
unaffected	ανεπηρέαστος
eighth	όγδοος
eager	πρόθυμος
smooth	λείος
usual	συνηθισμένος
assured	σίγουρος
unequal	άνισος
sale	η πώληση
grace	η χάρη
belt	η ζώνη
haze	η ομίχλη
ease	η άνεση
sentence	η πρόταση
pact	η συνθήκη
compliment	ηφιλοφρόνυση
address	η διεύθυνση
fortification	η οχύρωση
to preserve	διατηρώ
to encode	κωδικοποιώ
to encroach	καταπατώ
to gesticulate	χειρονομώ
to upbraid	επιτιμώ
to snipe	πυροβολώ
to govern	κυβερνώ
to profess	ομολογώ
to twitch	συσπώ
to moralize	ηθικολογώ
syringe	η σύρριγα
curlew	η τουρλίδα
legion	η λεγεώνα
entertainment	η ψυχαγωγία
hardness	η σκληρότητα
spleen	η σπλήνα
dissension	η διχόνια
hardship	η ταλαιπορία
generosity	η γενναιοδωρία
instruction	η διδασκαλία
humbly	ταπεινά
sooner	συντομότερα
plentifully	άφθονα
honestly	ειλικρινά
many	πολλοί
unlikely	απίθανον
deeply	βαθιά
miserably	δυστυχισμένα
commonly	κοινά
afar	μακριά
debate	η συζήτηση
bluntness	η άμβλυνση
erosion	η διάβρωση
undertaking	η επιχείρηση
collision	η σύγκρουση
recompense	η αποζημίωση
transformation	η μεταμόρφωση
affair	η υπόθεση
dough	η ζύμη
forgiveness	η συγχώρεση
to sin	αμαρτάνω
to baptize	βαπτίζω
to harden	σκληραίνω
to banish	εξορίζω
to disclose	αποκαλύπτω
to gather	συγκεντρώνω
to refresh	δροσίζω
to twist	στρίβω
to destroy	καταστρέφω
to flay	γδέρνω
enchantment	η γοητεία
nakedness	η γυμνότητα
lot	η μοίρα
hostess	η οικοδέσποινα
carelessness	η απροσεξία
sunbeam	η αχτίδα
willow	η ιτέα
kindness	η ευγένεια
occasion	η ευκαιρία
luxury	η πολυτέλεια
medical	ιατρικός
nude	γυμνός
fair	ξανθός
plaintive	γοερός
advantageous	πλεονεκτικός
imperial	αυτοκρατορικός
dire	τρομερός
rhetorical	ρητορικός
spiritual	πνευματικός
fortieth	τεσσερακοστός
giddiness	η ζάλη
application	η αίτηση
retaliation	η ανταπόδοση
retirement	η αποχώρηση
lake	η λίμνη
wrestling	η πάλη
dimension	η διάσταση
glitter	η λάμψη
force	η δύναμη
infection	η λοίμωξη
to transfix	διατρυπώ
to enervate	εξαντλώ
to daunt	πτοώ
to bother	ενοχλώ
to plunge	βουτώ
to sort	τακτοποιώ
to discontent	δυσαρεστώ
to abash	πτοώ
to bounce	αναπηδώ
to radiate	ακτινοβολώ
tunnel	η σήραγγα
valley	η κοιλάδα
loss	η απώλεια
protection	η προστασία
loft	η σοφίτα
dignity	η αξιοπρέπεια
displeasure	η δυσαρέσκεια
perfection	η τελειότητα
shelter	η προστασία
hospitality	η φιλοξενία
wittily	ευφυώς
selfless	ανιδιοτελής
slight	ελαφρύς
unfavorable	δυσμενής
punctual	συνεπής
juicy	χυμώδης
turbulent	ταραχώδης
elementary	στοιχειώδης
purblind	μύωπας
dependable	συνεπής
bewilderment	η κατάπληξη
ailment	η πάθηση
goodness	η καλοσύνη
translation	η μετάφραση
abasement	η ταπείνωση
mood	η διάθεση
west	η δύση
bail	η εγγύηση
storehouse	η αποθήκη
responsibility	η ευθύνη
to lower	χαμηλώνω
to kindle	ανάβω
to shorten	κονταίνω
to exhibit	εκθέτω
to dismount	αφιππεύω
to degrade	υποβιβάζω
to stutter	τραυλίζω
to madden	τρελαίνω
to convey	μεταβιβάζω
to plough	οργώνω
utility	η ωφέλεια
witchcraft	η μαγεία
trouble	η φασαρία
legation	η πρεσβεία
poverty	η φτώχεια
dizziness	η ζαλάδα
fidelity	η πιστότητα
insolence	η αυθάδεια
napkin	η χαρτοπετσέτα
stair	η σκάλα
unfortunate	άτυχος
skilled	επιδέξιος
immodest	άσεμνος
dependent	εξαρτώμενος
unmoved	ασυγκίνητος
shameless	αναίσχυντος
bloody	ματωμένος
unpunished	ατιμώρητος
dejected	αποκαρδιωμένος
unworthy	ανάξιος
tradition	η παράδοση
exhibition	η έκθεση
wording	η διατύπωση
disembarkation	η αποβίβαση
removal	η μετακόμιση
contentment	η ικανοποίηση
evaluation	η αξιολόγηση
rye	η σίκαλη
trance	η έκσταση
inflammation	η μόλυνση
to ordain	χειροτονώ
to fulfil	εκπληρώ
to inspect	επιθεωρώ
to bound	αναπηδώ
to nationalize	κρατικοποιώ
to procrastinate	χρονοτριβώ
to tow	ρυμουλκώ
to dawdle	χασομερώ
to legalize	νομιμοποιώ
to espouse	υιοθετώ
cure	η θεραπεία
washer	η ροδέλα
caterpillar	η κάμπια
cultivation	η καλλιέργεια
owl	η κουκουβάγια
blister	η φουσκάλα
diligence	η εργτατικότητα
religion	η θρησκεία
trumpet	η σάλπιγγα
kinship	η συγγένεια
greatly	πολύ
cleverly	έξυπνα
diseased	αποθανών
rightly	δίκαια
happily	ευτυχισμένα
bravely	γενναία
secretly	μυστικά
outwardly	εξωτερικά
earnestly	σοβαρά
wildly	άγρια
revolution	η επανάσταση
tenancy	η μίσθωση
lance	η λόγχη
alms	η ελεημοσύνη
mane	η χαίτη
credit	η πίστωση
acquittal	η αθώωση
radiance	η λάμψη
commotion	η αναστάτωση
infraction	η παραβιάση
to identify	αναγνωρίζω
to betray	προδίδω
to urge	παροτρύνω
to remind	υπενθυμίζω
to exhort	προτρέπω
to terrify	τρομάζω
to select	διαλέγω
to communicate	επικοινώνω
to blind	τυφλώνω
to sour	ξινίζω
eloquence	η ευφράδεια
fate	η μοίρα
tragedy	η τραγωδία
grasshopper	η ακρίδα
foolishness	η χαζομάρα
louse	η ψείρα
meaning	η σημασία
mint	η μέντα
attendance	η παρουσία
plague	η πανούκλα
warlike	πολεμικός
treble	τριπλός
palatial	ανακτορικός
urban	αστικός
spineless	δειλός
philological	φιλολογικός
evil	κακός
infernal	διαβολικός
inexpensive	φτηνός
forked	διχαλωτός
sickness	η αρρώστεια
settlement	η αποικία
greed	η λαιμαργία
ratio	η αναλογία
blotch	η μουντζούρα
hornet	η σφήκα
hen	η κότα
unit	η μονάδα
kneecap	η επιγονατίδα
root	η ρίζα
to stabilize	σταθεροποιώ
to long	ποθώ
to prate	φλυαρώ
to jabber	γλωσσοκοπανώ
to fulfil	ικανοποιώ
to irradiate	ακτινοβολώ
to spawn	γεννώ
to vaporize	ατμοποιώ
to terrorize	τρομοκρατώ
to indict	κατηγορώ
balance	η ισορροπία
excellence	η αρτιότητα
equality	η ισότητα
ferocity	η αγριότητα
agriculture	η γεωργία
chill	η ψύχρα
gang	η συμμορία
property	η ιδιοκτησία
moisture	η υγρασία
adequacy	η επάρκεια
unresponsive	απαθής
erstwhile	τέως
frantic	αλλόφρονας
insufficient	ανεπαρκής
depositing	καταθέτοντας
inconstant	ασταθής
gaseous	αεριώδης
native	ιθαγεννής
prayerful	θεοσεβής
servile	δουλοπρεπής
bullet	η σφαίρα
marionette	η μαριονέτα
research	η έρευνα
shortness	η βραχύτητα
stripe	η ρίγα
desertion	η λιποταξία
princess	η πριγκήπισσα
eaves	η μαρκίζα
rubber	η γόμα
neighborhood	η γειτονία
to stink	βρωμάω
to fortify	οχυρώνω
to rouse	ξεσηκώνω
to afflict	πλήττω
to strangle	στραγγαλίζω
to renew	ανανεώνω
to control	ελέγχω
